"(Intercept)","LPS_pg_ml_W0","IL18_pg_ml","TNFalfa_pg_ml_W0","IL10pg_ml_W0","IL6pg_ml_W0","IL8pg_ml_W0","CV_S000","CV_S008","CV_S012","CV_S039","CV_S52","LeucocitosS0","Hb_S0","HematocritoS0","PlaquetasS0","GlucosaS0","Acido_uricoS0","Creatinina_S0","Colesterol_S0","CD4_S0","CD4porcentajeS0","CD8_S0","CD8porcentajeS0","CocCD4_CD8_S0","GlucosaS04","CreatininaS04","AlbuminaS04","TGO_S04","LDH_S04","CD4_S08","CD4porcentajeS08","CD8_S08","CD8porcentajeS08","CocCD4_CD8_S08","CD4_S12","CD4porcentajeS12","CD8_S12","CD8porcentajeS12","CocCD4_CD8_S12","GlucosaS24","UreaS24","Acido_uricoS24","CreatininaS24","Bili_dirS24","TGO_S24","TGP_S24","LDH_S24","Fosf_alcS24","ColesterolS24","TrigliceridosS24","LeucocitosS24","EritrocitosS24","HemoglobinaS24","HematocritoS24","PlaquetasS24","CD4_S24","CD4porcentajeS24","CD8_S24","CocCD4_CD8_S24","CD4_S39","CD4porcentajeS39","CD8_S39","CD8porcentajeS39","CocCD4_CD8_S39","Hepatitis_basal_activa","Age","Days_to_IRIS","LogCV_S0","LogCV_S08","LogCV_S12","LogCV_S39","DeltaCV_S8","DeltaCV_S12","DeltaCD4_S8","DeltaCD4_S12","DeltaCD4_S12minusS8","CD4porcentajeS52","CD8_S52","CD8porcentajeS52","CocCD4_CD8_S52","DeltaCD4W52atleast150","CD4TCabove200_W052","CD4TCabove350_W052","DeltaLogCV_W8","DeltaLogCV_W12","DeltaLogCV_W39"
-10.9059570977496,0,0,0.0475523650953892,0,0,0,0,0,0,0,0,0,0,0,-0.0458084666961769,0,0,0,0,-0.5238567877089,0,-0.00558161673347166,-0.00070754748360053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214997353503991,4.24747698576115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2880881560703,0,0,0,2.90350349091567,3.06309645359367,0,0,0,0,0.0480879841723543,0,0,0.120552359211704,0.0701263613318062,0,213.983617315639,56.7168133524477,22.6030546458228,53.938295550927,0,0,0
-39.0549728762235,0,0,1.48805849953071,0,0,0,0,0.00154833996856495,0,0,-0.142996477575051,0,0,0,-0.0203815071383405,0,0,0,0,-0.749572940081686,0,0,-0.572154072954928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133882985562586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042491225264887,0.707705338756386,0,0,0,0,0,-0.290018173893136,0,0,0,-0.00955145990967601,7.01047958142853,0,0,0,0,0,0.0179396197484068,0.0269513507258538,0,2.90488651713845,0.115670019714817,0,265.55061748995,42.9107761613874,20.3415978514834,40.6307580561216,0,0,0
-37.9998281217778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.645903916256604,0,0,-0.489376396026824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72146924471311,0,0,0,0,0,0,-0.0158092628552261,0,0,0,0,0,0,0,0.304106434933448,0,0,0,0,0,0,9.31945728229478,0,0,0,1.99332597359679,8.35374145948106,0,0,0,0,0.029984013491336,0.00904180629260694,0,4.42807904162255,0.103182987272133,0,201.747486106892,58.3709830983734,5.12506686102244,38.3114982346366,0,0,0
41.0161253128681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.604244628112883,0,0,-0.518826800471654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122299824009065,0.0595434533880926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1451387895418,0,0,0,0.665357231105751,0,0,0,0,0,0.0805205166009709,0.00412627789482872,0,1.95395605410376,0.0759832907414809,0,181.310940844118,54.2189531761735,17.3202894145027,55.0312375412769,0,0,0
-68.167951157662,0,0,1.65799826554257,-0.468135514599795,0,0,0,0.000987690791693004,0,0,-0.0794069057745609,0,-1.04907943131285,0,-0.0153527241778755,0,0,0,0,-0.647516484645508,0,-0.00903480274069323,-0.284781711965644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7627012900798,0,0,0,-0.274781340996147,0,0,0,0,10.4492462198372,0,1.35283992059093,0,0,0,0,0.0579547510121736,0,3.58196791947279,0.121026192875064,0,255.80381189014,40.0375312566155,23.0433887960217,33.9997679852429,0,0,0
36.2490473040301,0,0,0.736805793982358,0,0,0,0,0,0,0,0,0,0,0,-0.0021488477509612,0,0,0,0,-0.625818543755438,0,0,-0.669515445962867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809414714034519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7710400880088,0,0,0,0.389809873285591,0,0,0,0,0,0.0779835440369957,0.0135676462071546,0,2.08241161490723,0.0797560634049993,0,200.197536653593,51.3519595591297,23.1477410246152,52.9996459816583,0,0,0
-42.1123108116565,0,0,0,0,0,0,0,0.000680858332889534,0,0,-0.232413612005435,0,-0.370085180969843,0,-0.0505637662784972,0,0,0,0,-0.700555259837414,0,-0.00441597953954459,-0.32458742840433,0,0,0,-5.17377671767059,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591619392757012,0,0.75540178749993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57475549232267,0,0,0,0,0,-0.43203911836089,2.05167555692527,0,0,0,9.15460519489734,1.52385918427033,0,0,0,0,0.000534222968104223,0.0394911457759396,0,4.74060479927331,0.137130926403634,-0.103175210589914,251.024001890376,39.2738855186742,13.7340353965692,15.531398742859,0,0,0
-0.271209430227827,0,0,0.562222754112451,-0.76236163972603,0,0,0,0.000481050657257665,0,0,0,0,-0.656971741816319,0,-0.0524483817658165,0,0,0,0,-0.694789143174029,0,0,-0.693586333420981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107152937971646,3.14007309176445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212416157564896,1.11539720043243,0,0,0,0,0,0,4.22964358254501,0,0,-0.00853012500515388,10.6144158275737,0.864434758629847,0,0,0,0,0.0157505321436306,0.0391227079976319,0,2.35861937275918,0.0800060172253653,0,139.527762585526,51.7641636465203,28.0830015573448,47.695357002717,0,0,0
-24.2054384140133,0,0,2.00025685015892,0,0,0,0,0.00145707897090778,0,0,-0.210772262167167,0,0,0,-0.0471082485586993,0,0,0,0,-0.710469506583206,0,-0.00229306734832078,-0.425289766051003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262463362460286,0,0,0,0,0,0,0,-0.0093840241336638,-0.00880071360778513,0,-0.484425381661423,0,0,0,0.025612182918459,0.524570357228361,0,0,0,0,0,-0.187868534163637,0,0,0,0,0,0,0,0,0,0,0,0.0512848448729387,0,2.87366914632393,0.110997900315902,0,257.973747332645,47.6990243652116,20.5636523816829,38.8336672050133,0,0,6.82428206788924
-0.900927808505372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0261965448585718,0,0,0,0,-0.585419016794358,0,-0.000198087780346777,-0.391231807591795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13162581387497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07543550436554,0,0,0,6.06187614603204,2.45211523780171,0,0,0,0,0.000614804519610836,0.0610791496194355,0,1.7046227161687,0.0783941408049784,0,206.184397050342,54.6688966077922,17.2292483173554,50.2886989472348,0,0,0
